,배우코드,영화제목,개봉날짜,배우이름,감독,출연진,평점
122,kim_yunseok,도둑들,20124034,김윤석,최동훈,"['김윤석', '김혜수', '이정재', '전지현', '임달화', '김해숙', '오달수', '김수현', '이신제', '증국상']",7.65
123,kim_hyesoo,도둑들,20124034,김혜수,최동훈,"['김윤석', '김혜수', '이정재', '전지현', '임달화', '김해숙', '오달수', '김수현', '이신제', '증국상']",7.65
124,lee_jungjae,도둑들,20124034,이정재,최동훈,"['김윤석', '김혜수', '이정재', '전지현', '임달화', '김해숙', '오달수', '김수현', '이신제', '증국상']",7.65
125,jeon_jihyun,도둑들,20124034,전지현,최동훈,"['김윤석', '김혜수', '이정재', '전지현', '임달화', '김해숙', '오달수', '김수현', '이신제', '증국상']",7.65
126,kim_yunseok,완득이,20112695,김윤석,이한,"['김윤석', '유아인']",8.8
127,kim_yunseok,황해,20101222,김윤석,나홍진,"['하정우', '김윤석', '조성하']",7.94
128,kim_yunseok,황해,20101222,김윤석,나홍진,"['하정우', '김윤석', '조성하']",7.94
129,ha_jungwoo,황해,20101222,하정우,나홍진,"['하정우', '김윤석', '조성하']",7.94
130,ha_jungwoo,황해,20101222,하정우,나홍진,"['하정우', '김윤석', '조성하']",7.94
131,kim_yunseok,거북이 달린다,20090297,김윤석,이연우,"['김윤석', '정경호', '견미리', '선우선']",8.43
132,kim_yunseok,추격자,20080046,김윤석,나홍진,"['김윤석', '하정우']",9.09
133,ha_jungwoo,추격자,20080046,하정우,나홍진,"['김윤석', '하정우']",9.09
134,kim_yunseok,즐거운 인생,20070380,김윤석,이준익,"['정진영', '김윤석', '김상호', '장근석']",9.14
135,kim_yunseok,타짜,20060277,김윤석,최동훈,"['조승우', '김혜수', '백윤식', '유해진']",9.2
136,kim_yunseok,타짜,20060277,김윤석,최동훈,"['조승우', '김혜수', '백윤식', '유해진']",9.2
137,kim_hyesoo,타짜,20060277,김혜수,최동훈,"['조승우', '김혜수', '백윤식', '유해진']",9.2
138,kim_hyesoo,타짜,20060277,김혜수,최동훈,"['조승우', '김혜수', '백윤식', '유해진']",9.2
139,yoo_haejin,타짜,20060277,유해진,최동훈,"['조승우', '김혜수', '백윤식', '유해진']",9.2
140,yoo_haejin,타짜,20060277,유해진,최동훈,"['조승우', '김혜수', '백윤식', '유해진']",9.2
141,cho_seungwoo,타짜,20060277,조승우,최동훈,"['조승우', '김혜수', '백윤식', '유해진']",9.2
142,cho_seungwoo,타짜,20060277,조승우,최동훈,"['조승우', '김혜수', '백윤식', '유해진']",9.2
